4,All bull moose grow antlers.,False, bull moose that are too young do not grow antlers.,1,1,
8,All birds live on mountains.,False, birds that live in the ocean do not live on mountains.,0,1,
12,All birds eat larvae.,False, birds that live in a place where there are no larvae do not eat larvae.,1,1,
17,All lizards eat rodents.,False, lizards that are in captivity do not eat rodents.,1,1,
18,All rats live in africa.,False, rats that live in asia do not live in africa.,1,1,
21,All ostriches have long legs.,False, ostriches that are sick do not have long legs.,0,1,
28,All chimpanzees throw objects at human observers.,False, chimpanzees that are in a zoo do not throw objects at human observers.,0,1,
34,All domesticate pigs live in barns.,False, pigs that are raised in a small pen do not live in barns.,1,1,
39,All squirrels live in grassland.,False, squirrels that live in a forest do not live in grassland.,1,1,
41,All mice have fur.,False, mice that have been shaved do not have fur.,1,1,
49,All cats kill mice.,False, cats that are too young to hunt do not kill mice.,1,1,
51,All bears have white fur.,False, grizzly bears do not have white fur.,1,1,
54,All human embryos go through various stages.,False, human embryos that are aborted do not go through various stages.,1,1,
55,All foxes prey on scorpions.,False, foxes that live in an area where scorpions are scarce do not prey on scorpions.,1,1,
57,All jaguars kill horses.,False, jaguars that are not hungry do not kill horses.,1,0,
72,All mountain lions kill large prey.,False, mountain lions that are very young do not kill large prey.,1,1,
74,All penguins give birth to penguins.,False, emperor penguins do not give birth to penguins.,0,1,
82,All wild boars eat small reptiles.,False, some wild boars do not eat small reptiles.,1,1,
86,All pigment absorbs visible light.,False, hydrogen does not absorb visible light.,1,0,
89,All deer live in woodlands.,False, deer that live in urban areas do not live in woodlands.,1,1,
90,All killer whales live in antarctic regions.,False, killer whales do not live in the arctic region.,0,1,
109,All cats have intestines.,False, cats that have had their intestines removed do not have intestines.,1,1,
0,All mice have single leave lungs.,False, mice that are genetically modified to have two lungs do not have single leave lungs.,0,1,
1,All dolphins live in oceans.,False, dolphins that live in fresh water lakes do not live in oceans.,1,1,
2,All frogs have a disk of skin behind each eye.,False, the red-eyed tree frog does not have a disk of skin behind each eye.,0,1,
3,All penguins are gentle when feeding.,False, the emperor penguin is not gentle when feeding.,0,1,
5,All sharks feed on creatures.,False, sharks that are too young to hunt do not feed on creatures.,0,1,
6,All ermines have fur.,False, ermines that are young do not have fur.,1,1,
7,All voles occupy grass.,False, voles that are in the desert do not occupy grass.,1,1,
9,All lions eat small animals.,False, lions do not eat small mammals.,0,1,
10,All sea birds can even drink sea water and excrete the extra salt out of glands near their eyes.,False, sea birds that live in the arctic cannot drink sea water and excrete the extra salt out of glands near their eyes.,0,1,
11,All giant anteaters climb trees.,False, giant anteaters that are too small do not climb trees.,0,1,
13,All goats are horned.,False, goats that are born without horns are not horned.,1,1,
14,All wombats eat grass.,False, wombats that are sick do not eat grass.,0,1,
15,All hawks destroy eggs.,False, hawks that are not hungry do not destroy eggs.,0,1,
16,All vertebrates have cartilage skeletons.,False, insects do not have cartilage skeletons.,0,1,
19,All owls scare other birds.,False, owls that are very young do not scare other birds.,0,1,
20,All tapirs have few natural predators.,False, tapirs that live in a place where there are few predators do not have few natural predators.,1,1,
22,All owls sit on grass.,False, owls that live in the forest do not sit on grass.,0,1,
23,All wolf spiders feed on insects.,False, wolf spiders that live in the desert do not feed on insects.,0,1,
24,All sharks are oviparous .,False, the bull shark is not oviparous.,1,1,
25,All birds have sterna.,False, birds that are sick do not have sterna.,0,1,
26,All cascade frogs occupy meadows.,False, the common garter snake does not occupy meadows.,0,1,
27,All squirrels destroy vegetation.,False, squirrels that live in a forest do not destroy vegetation.,0,1,
29,All albatrosses take flight.,False, the laysan albatross does not take flight.,0,1,
30,All raccoons have sharp front teeth.,False, raccoons that are very young do not have sharp front teeth.,0,1,
225,Not all sloths feed on trees.,True, sloths that live in the rainforest do not feed on trees.,0,1,
477,No wolverines kill lynxes.,False, some wolverines kill lynxes.,0,1,
371,Some hedgehog tenrecs eat insects.,True, some hedgehog tenrecs eat insects.,0,1,
342,Some ferrets show fear.,True, some ferrets show a fear of strangers.,0,1,
33,All pheasants live in nests.,False, pheasants that live in a burrow do not live in nests.,1,1,
170,Not all birds eat larvae.,True, birds that are too young to eat larvae do not eat larvae.,0,1,
136,All omnivorous birds eat prey.,False, some omnivorous birds do not eat insects.,0,1,
64,All pangolins have teeth.,False, the pangolin does not have teeth.,1,1,
447,No ducks have brown plumages.,False, some ducks have brown feathers.,1,1,
116,All birds have foliage.,False, birds that live in a desert do not have foliage.,0,1,
324,Some species of sharks give live birth to their young.,True, some species of sharks give live birth to their young.,1,1,
490,No wolves have strong jaws.,False, some wolves have sharp jaws.,0,1,
315,Not all molecular solids are nonpolar.,True, water is not a nonpolar molecular solid.,1,1,
314,Not all respiration occurs in organelles.,True, the mitochondria does not occur in organelles.,0,1,
394,Some wasps have wings.,True, some wasps have a pair of wings.,1,1,
102,All otters eat fish.,False, otters that live in a place where there are no fish do not eat fish.,1,1,
141,All carbohydrates promote inflammation.,False, carbohydrates that are not absorbed by the body do not promote inflammation.,1,1,
192,Not all domesticate pigs live in barns.,True, pigs that live in the wild do not live in barns.,0,1,
388,Some wolves live in parks.,True, some wolves live in national parks.,1,1,
81,All birds give birth to offspring.,False, birds that are in captivity do not give birth to offspring.,1,1,
137,All fish have gills.,False, some fish do not have gills.,0,1,
376,Some aquatic salamanders eat fish.,True, some aquatic salamanders eat small fish.,1,1,
455,No antelopes eat leaves.,False, some antelopes eat shrub leaves.,1,1,
464,No squirrels have teeth.,False, some squirrels have incisors.,1,1,
467,No rat snakes feed on small rodents.,False, some rat snakes feed on mice.,1,1,
112,All hyenas live in craters.,False, hyenas that live in the savannas of africa do not live in craters.,1,1,
478,No squirrels seek water.,False, some squirrels seek a water source.,1,1,
346,Some owls prey on birds.,True, some owls prey on small birds.,1,1,
439,No frogs also secrete a toxic or distasteful substance from their skin.,False, some frogs secrete a toxic substance from their skin.,1,1,
266,Not all leopard geckos have tails.,True, leopard geckos that are in captivity do not have tails.,0,1,
153,All catalysts work by lowering the 'activation energy' of a reaction.,False, some catalysts work by increasing the 'activation energy' of a reaction.,0,1,
243,Not all lizards sit on branches.,True, green iguanas do not sit on branches.,0,1,
194,Not all pelicans eat fish.,True, pelicans that are in captivity do not eat fish.,0,1,
449,No elephants possess bones.,False, some elephants possess bones.,1,1,
348,Some birds eat eggs.,True, some birds eat chicken eggs.,1,1,
333,Some fish live in reefs.,True, some fish live in coral reefs.,1,1,
171,Not all goats are horned.,True, goats that are bred without horns are not horned.,1,1,
36,All pelicans eat fish.,False, the brown pelican does not eat fish.,0,1,
457,No birds use feathers.,False, some birds use feathers for nesting.,1,1,
177,Not all owls scare other birds.,True, owls that are in a nest do not scare other birds.,0,1,
60,All sea slugs develop gills.,False, sea slugs that are too young to develop gills do not develop gills.,1,1,
367,Some downy woodpeckers have white feathers.,True, some downy woodpeckers have white feathers on their back.,1,1,
217,Not all salamanders eat frogs.,True, salamanders that live in a place where there are no frogs do not eat frogs.,1,1,
373,Some gazelles live on african grassland.,True, some gazelles live on savannas.,0,1,
334,Some carbohydrates reach intestines.,True, some carbohydrates reach the small intestine.,1,1,
302,Not all salamanders use sticky tongues.,True, the hellbender does not use sticky tongues.,1,1,
162,Not all bull moose grow antlers.,True, bull moose that are too young to grow antlers do not grow antlers.,1,1,
209,Not all bears have white fur.,True, bears that are born with dark fur do not have white fur.,1,1,
157,All molecular solids are nonpolar.,False, molecular solids that are hydrogen-bonded are nonpolar.,0,1,
93,All ocelots have stripes.,False, ocelots that are very young do not have stripes.,1,1,
420,No cats have huge ears.,False, some cats have large ears.,1,1,
151,All voles have reproductive potential.,False, voles that are too young to reproduce do not have reproductive potential.,1,1,
239,Not all birds give birth to offspring.,True, birds that are sterile do not give birth to offspring.,1,1,
496,No owls use ears.,False, some owls use ears.,1,1,
191,Not all pheasants live in nests.,True, pheasants that live in a burrow do not live in nests.,1,1,
423,No bats show growth.,False, some bats show growth.,1,1,
91,All hyenas prey on calves.,False, hyenas do not prey on calves that are very young.,1,1,
65,All tree frogs have vertical slit pupils.,False, the green tree frog does not have vertical slit pupils.,1,1,
294,Not all omnivorous birds eat prey.,True, some omnivorous birds do not eat insects.,1,1,
481,No male mandrills have teeth.,False, some male mandrills have incisors.,1,1,
406,Some walruses appear in sea.,True, some walruses appear in sea areas.,1,1,
161,Not all penguins are gentle when feeding.,True, emperor penguins are not gentle when feeding.,1,1,
95,All caterpillars change into moths.,False, caterpillars that are killed do not change into moths.,1,1,
341,Some horses consume proteins.,True, some horses consume protein supplements.,1,1,
276,Not all desert tortoises have high dome shells.,True, the desert tortoise does not have high dome shells.,1,1,
352,Some ducks have brown plumages.,True, some ducks have a brown plumage.,1,1,
87,All deer live up to years.,False, deer that live in the arctic do not live up to years.,1,1,
402,Some crocodiles make eggs.,True, some crocodiles make crocodile eggs.,1,1,
438,No crocodiles have skin.,False, some crocodiles have scales.,1,1,
300,Not all immature birds have brownish eyes.,True, baby birds do not have brownish eyes.,1,1,
330,Some honey badgers have tongues.,True, some honey badgers have a tongue.,1,1,
286,Not all breathe oxygen is produced by trees.,True, breathe oxygen is not produced by algae.,1,1,
222,Not all pangolins have teeth.,True, the aardwolf does not have teeth.,1,1,
308,Not all elephants live in nepal.,True, elephants that live in the united states do not live in nepal.,1,1,
183,Not all birds have sterna.,True, penguins do not have sterna.,0,1,
